CloudFlare,1.00,12/1/12,United States,Cybersecurity,"New Enterprise Associates, Pelion Venture Partners, Union Square Ventures"
Lookout,1.00,8/13/14,United States,Cybersecurity,"Accel Partners, Greylock Partners, Lowercase Capital"
Illumio,1.00,4/14/14,United States,Cybersecurity,"Data Collective, Formation 8, General Catalyst Partners"
CrowdStrike,1.00,5/17/17,United States,Cybersecurity,"Warbug Pincus, capitalG, Accel Partners"
Cylance,1.00,6/8/16,United States,Cybersecurity,"Khosla Ventures, Fairhaven Capital, In-Q-Tel"
Zscaler,1.00,8/3/15,United States,Cybersecurity,"capitalG, EMC Ventures, Lightspeed Venture Partners"
Duo Security,1.17,10/18/17,United States,Cybsersecurity,"Meritech Capital, Lead Edge Capital, Benchmark"
HeartFlow,1.19,12/4/17,United States,Digital Health,"BlueCross BlueShield Venture Partners, US Venture Partners"
Particle,1.00,10/17/17,United States,Digital Media,Phoenix New Media
Airbnb,29.30,7/26/11,United States,eCommerce/Marketplace,"General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures"
Fanatics,4.50,6/6/12,United States,eCommerce/Marketplace,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Houzz,4.00,9/30/14,United States,eCommerce/Marketplace,"New Enterprise Associates, Sequoia Capital, Comcast Ventures"
ContextLogic (dba. Wish),3.00,5/18/15,United States,eCommerce/Marketplace,"Founders Fund, GGV Capital, Digital Sky Technologies"
Thumbtack,1.20,9/29/15,United States,eCommerce/Marketplace,"Tiger Global, Sequoia Capital, Google Capital"
Warby Parker,1.20,4/30/15,United States,eCommerce/Marketplace,"BoxGroup, Felicis Ventures, First Round Capital"
OfferUp,1.20,9/8/16,United States,eCommerce/Marketplace,"Andreessen Horowitz, GGV Capital, T. Rowe Price"
TechStyle Fashion Group,1.00,8/29/14,United States,eCommerce/Marketplace,"Matrix Partners, Passport Capital, Rho Ventures"
Eventbrite,1.00,3/13/14,United States,eCommerce/Marketplace,"Sequoia Capital, Tiger Global Management, SV Angel"
Age of Learning,1.00,5/3/16,United States,Edtech,Iconiq Capital
STX Entertainment,1.50,8/10/16,United States,Entertainment,"Tencent, TPG Growth, Hony Capital"
WeWork,20.00,2/3/14,United States,Facilities,"T. Rowe Price, Benchmark Capital, SoftBank Group"
Mozido,2.39,10/22/14,United States,Fin Tech,"Wellington Management, TomorrowVentures, Mastercard Worldwide"
Stripe,9.20,1/23/14,United States,Fintech,"Khosla Ventures, Lowercase Capital, capitalG"
Robinhood,5.60,4/26/17,United States,Fintech,"Google Ventures, Andreessen Horowitz, DST Global"
Social Finance,4.00,2/3/15,United States,Fintech,"Baseline Ventures, DCM Ventures, Institutional Venture Partners"
Credit Karma,3.50,9/29/14,United States,Fintech,"Felicis Ventures, SV Angel, Founders Fund"
Zenefits,2.00,5/6/15,United States,Fintech,"SV Angel,ÊInstitutional Venture Partners, Venrock"
Greensky,2.00,10/22/15,United States,Fintech,"DST Global, QED Investors, TPG Capital"
Avant,2.00,9/30/15,United States,Fintech,"RRE Ventures, Tiger Global, August Capital"
Affirm,2.00,12/11/17,United States,Fintech,"Andreessen Horowitz, Khosla Ventures, Singapore Wealth Fund"
Coinbase,1.60,8/10/17,United States,Fintech,"Y Combinator, Union Square Ventures, DFJ Growth"
AvidXchange,1.40,6/8/17,United States,Fintech,"Temasek Holdings, Charlotte Angel Partners, TPG Growth"
Kabbage,1.00,10/14/15,United States,Fintech,"BlueRun Ventures, SV Angel, Mohr Davidow Ventures"
Gusto,1.00,12/18/15,United States,Fintech,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
Symphony Communication Services Holdings,1.00,5/16/17,United States,Fintech,"BNP Paribas, Goldman Sachs, Google"
Peloton Interactive,1.30,5/24/17,United States,Fitness,"True Ventures, Tiger Global Management, L Catterton"
DoorDash,1.40,3/1/18,United States,Food Delivery,"Softbank Group, Sequoia Capital, Khosla Ventures"
Unity Technologies,2.60,7/13/16,United States,Gaming,"Sequoia Capital, iGlobe Partners, DFJ Growth"
GRAIL,2.46,3/1/17,United States,Genomics,"Kleiner Perkins Caufield & Byers, Amazon, Merck & Co."
Bloom Energy,2.70,3/6/09,United States,Greentech,"Kleiner Perkins Caufield & Byers, ATEL Ventures, DAG Ventures"
Carbon3D,1.70,12/20/17,United States,Hardware,"Google Ventures, Sequoia Capital, Wakefield Group"
Intarcia Therapeutics,5.50,4/1/14,United States,Healthcare,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital"
Outcome Health,5.00,5/31/17,United States,Healthcare,"Goldman Sachs, capitalG, Pritzker Group Venture Capital"
Moderna,3.00,12/19/14,United States,Healthcare,"Flagship Ventures, Invus Group, Wellington Management"
Oscar Health Insurance Co.,2.70,4/20/15,United States,Healthcare,"BoxGroup, Formation8, Khosla Ventures"
Zocdoc,1.80,8/20/15,United States,Healthcare,"Founders Fund, Khosla Ventures, Goldman Sachs"
23andMe,1.50,7/3/15,United States,Healthcare,"Google Ventures, New Enterprise Associates, MPM Capital"
Clover Health,1.20,5/10/17,United States,Healthcare,"Google Ventures, Sequoia Capital, First Round Capital"
Human Longevity,1.20,4/5/16,United States,Healthcare,"Celgene, GE Ventures, Draper Fisher Jurvetson"
Proteus Digital Health,1.10,6/2/14,United States,Healthcare,"Novartis, Essex Woodlands, The Carlyle Group"
Adaptive Biotechnologies,1.00,1/8/15,United States,Healthcare,"Illumina, Celgene, Casdin Capital"
Dropbox,10.00,10/5/11,United States,Internet Software & Services,"Accel Partners, Greylock Partners, Index Ventures"
Infor,10.00,11/16/16,United States,Internet Software & Services,"Blackstone Group, Koch Industries"
Slack Technologies,5.10,10/31/14,United States,Internet Software & Services,"Google Ventures, Institutional Venture Partners, Index Ventures"
DocuSign,3.00,3/4/14,United States,Internet Software & Services,"Accel Partners, Bessemer Venture Partners, Ignition Partners"
Github,2.00,7/30/15,United States,Internet Software & Services,"Sequoia Capital, Thrive Capital, SV Angel"
Quora,1.80,4/21/17,United States,Internet Software & Services,"Y Combinator, Matrix Partners, Benchmark"
Sprinklr,1.80,3/31/15,United States,Internet Software & Services,"Azure Capital Partners, Battery Ventures, Intel Capital"
Apttus,1.75,9/1/15,United States,Internet Software & Services,"Iconiq Capital, K1 Capital, Salesforce Ventures"
Squarespace,1.70,12/14/17,United States,Internet Software & Services,"General Atlantic, Index Ventures, Accel Partners"
Afiniti,1.60,4/14/17,United States,Internet Software & Services,GAM Holding
Snowflake Computing,1.50,7/3/15,United States,Internet Software & Services,"Redpoint Ventures,Iconiq Capital, Madrona Venture Group"
Anaplan,1.40,1/14/16,United States,Internet Software & Services,"Shasta Ventures, Granite Ventures, DFJ Growth Fund"
DraftKings,1.35,7/26/15,United States,Internet Software & Services,"Accomplice, GGV Capital, Redpoint Ventures"
Rubrik,1.30,4/28/17,United States,Internet Software & Services,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures"
Zeta Interactive,1.30,7/15/15,United States,Internet Software & Services,"GSO Capital Partners, Franklin Square"
Docker,1.30,4/14/15,United States,Internet Software & Services,"Greylock Partners, Lightspeed Venture Partners, Lowercase Capital"
Ten-X,1.20,3/5/14,United States,Internet Software & Services,"Stone Point Capital, Google Capital"
Automattic,1.16,5/27/13,United States,Internet Software & Services,"Insight Venture Partners, Lowercase Capital, Polaris Partners"
AppDirect,1.04,10/7/15,United States,Internet Software & Services,"Mithril, iNovia Capital, Foundry Group"
Pluralsight,1.00,12/13/16,United States,Internet Software & Services,"Iconiq Capital, Insight Venture Partners, Sorenson Capital"
Medallia,1.00,7/21/15,United States,Internet Software & Services,Sequoia Capital
Fanduel,1.00,7/14/15,United States,Internet Software & Services,"Pentech Ventures, Bullpen Capital, KKR"
Glassdoor,1.00,6/3/16,United States,Internet Software & Services,"T. Rowe Price, Battery Ventures, Tiger Global Management"
SMS Assist,1.00,6/13/16,United States,Internet Software & Services,"Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital"
Zoom Communications,1.00,1/17/17,United States,Internet Software & Services,"Sequoia Capital, Qualcomm Ventures, Emergence Capital Partners"
C3 IoT,1.40,3/2/17,United States,IoT,"Makena Capital Management, TPG Growth, Breyer Capital"
Vice Media,5.70,8/17/13,United States,Media,"Technology Crossover Ventures, A&E Television Networks"
Buzzfeed,1.70,8/18/15,United States,Media,"SV Angel, RRE Ventures, New Enterprise Associates"
Vox Media,1.00,8/12/15,United States,Media,"Accel Partners, Comcast Ventures, General Atlantic"
Uber,68.00,8/23/13,United States,On-Demand,"Lowercase Capital, Benchmark Capital, Google Ventures"
Lyft,11.50,3/12/15,United States,On-Demand,"Founders Fund, Mayfield Fund, capitalG"
Instacart,4.20,12/30/14,United States,On-Demand,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
SpaceX,21.50,12/1/12,United States,Other Transportation,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
Compass,2.20,8/31/16,United States,Real Estate,"Founders Fund, Thrive Capital, Wellington Management"
OpenDoor Labs,1.00,11/30/16,United States,Real Estate,"Norwest Venture Partners, New Enterprise Associates, Khosla Ventures"
UiPath,1.10,3/2/18,United States,Robotic Process Automation,"Accel Partners, capitalG, Earlybrid Venture Capital, Kleiner Perkins Caufield & Byers"
Pinterest,12.30,5/19/12,United States,Social,"Andreessen Horowitz, Bessemer Venture Partners, Firstmark Capital"
reddit,1.80,7/31/17,United States,Social,"Y Combinator, Sequoia Capital, Coatue Management"
Nextdoor,1.50,3/4/15,United States,Social,"Benchmark Capital, DAG Ventures, Insight Venture Partners"
TangoMe,1.10,3/20/14,United States,Social,"Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group"
Rocket Lab,1.00,3/21/17,United States,SpaceTech,"Lockheed Martin, Khosla Ventures, Bessemer Venture Partners"
JetSmarter,1.50,12/12/16,United States,TravelTech,"Jay-Z, Saudi Royal Family, Jet Edge"
Magic Leap,4.98,10/21/14,United States,VR/AR,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz"
